Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Target,Input1_ACN,Input1_DMF,Input1_DMSO,Input1_THF,Input1_acetone,Input1_chloroform,Input1_propanol,Input2_Nylon,Input2_PDMS,Input2_PEO,Input2_PMMA,Input2_PP,Input2_PS,Input2_PUR,Input2_PVC,Input3_LiBF4,Input3_LiCF3SO3,Input3_LiClO4,Input3_LiClO6,Input3_LiI,Input3_LiTFSI
0.6223953395276319,0.011976355692624008,0.6066102826619186,0.7314285714285714,0.06668017835427645,0.45127798282225523,0.23330930064888245,0.18090452261306522,0.04483929095252064,0.39835002946375947,0.8,1.0,0.0,0.020792113814138164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.21871773802751615,0.6747365715754304,0.4406855107945694,0.42000000000000004,0.14126469396027566,0.11131040667793454,0.6496034607065608,0.8090452261306531,0.39031136068390404,0.35474366529169116,0.8,0.11111114285714291,1.0,0.06676703046653631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.6472252070033498,0.08676432793626318,0.587246828399733,0.34571428571428575,0.1990271584920957,0.909454658342244,0.7619322278298486,0.9095477386934672,0.9600217910572855,0.4295816146140246,0.9,0.22222228571428582,0.0,0.44307328026912696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.9018551292585804,0.7698792084297097,0.9734030714444692,0.2799999999999999,0.9763883259019053,0.07450588113552484,0.3146359048305696,0.3015075376884422,0.06088924276075935,0.8833235120801413,0.4,0.0,1.0,0.00016567043683131323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.987885300128521,0.07674119763556925,0.4124193189405743,0.4428571428571427,0.6090393190109445,0.8275671760201442,0.9926459985580389,0.6984924623115574,0.33633658802329974,0.5061873895109015,0.9,0.0,0.0,0.051407224893599265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.502602026841961,0.7888974556669237,0.10972624081905187,0.9857142857142857,0.29073773814349413,0.6960435997378497,0.11997116077865888,0.5326633165829144,0.7349872187067847,0.03594578668238066,0.4,0.0,0.0,0.08809328508640325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7432368371152265,0.7963505525571833,0.21244157578455375,0.2885714285714286,0.36957843534657486,0.8875513090269394,0.8465753424657534,0.5427135678391957,0.7413569123748064,0.5680612846199173,0.1,0.6666665714285714,1.0,0.2745124705595734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7324968923161198,0.2860447185813415,0.40696639216559094,0.014285714285714235,0.38629914876368066,0.6153288951743644,0.05364095169430422,0.4522613065326633,0.7322633365461175,0.6034177961107836,0.0,0.22222228571428582,0.0,0.2701127358151775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9110464993784632,0.31847854022102284,0.8015802359225463,0.9657142857142856,0.6412646939602756,0.7278465730744024,0.7022350396539292,0.562814070351759,0.20181871516573777,0.9381261048909841,0.9,1.0,1.0,0.017860484217002707,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.25838547921538885,0.5631457208943716,0.906409971066103,0.4942857142857141,0.0668828536684232,0.9646786933876031,0.9310742609949532,0.9296482412060301,0.027993127435779246,0.2139068945197407,0.5,0.8888888571428571,1.0,0.17325690139208139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
